,AEW541,AEW541_IC_50,Nilotinib,Nilotinib_IC_50,17-AAG,17-AAG_IC_50,PHA-665752,PHA-665752_IC_50,Lapatinib,Lapatinib_IC_50,Nutlin-3,Nutlin-3_IC_50,AZD0530,AZD0530_IC_50,PF2341066,PF2341066_IC_50,L-685458,L-685458_IC_50,ZD-6474,ZD-6474_IC_50,Panobinostat,Panobinostat_IC_50,Sorafenib,Sorafenib_IC_50,Irinotecan,Irinotecan_IC_50,Topotecan,Topotecan_IC_50,LBW242,LBW242_IC_50,PD-0325901,PD-0325901_IC_50,PD-0332991,PD-0332991_IC_50,Paclitaxel,Paclitaxel_IC_50,AZD6244,AZD6244_IC_50,PLX4720,PLX4720_IC_50,RAF265,RAF265_IC_50,TAE684,TAE684_IC_50,TKI258,TKI258_IC_50,Erlotinib,Erlotinib_IC_50
NCIH520_LUNG,0.535,8,0.1169,8,2.9933,0.09997908,0,8,0,8,0.421,8,0.7849,8,0.2855,8,0.03915,8,0.832,8,4.0233,0.05924473,0.4904,8,3.2016,0.227801815,2.1326,0.897854149,0.6113,8,0.1691,8,0.7981,8,5.9668,0.007693344,0.1026,8,0.07222,8,1.3047,2.380209684,0.8424,7.341633797,1.2327,2.806128025,0,8
JHH5_LIVER,1.2766,3.495026588,NA,NA,4.6117,0.018158266,0.0742,8,1.8201,0.569107652,0.1139,8,1.4841,1.928420663,0.3285,8,0.3826,8,2.5902,1.023970723,4.4314,0.039195716,0.3623,8,NA,NA,4.1015,0.091584355,0.1843,8,2.5049,0.288739204,NA,NA,4.7876,0.009005306,1.1148,0.357130577,0.06765,8,1.0799,2.70650816,0.868,3.744314909,0.3701,8,1.4192,1.078194857
FU97_STOMACH,0.9502,3.990180492,NA,NA,4.4951,0.062858187,0.806,8,0.3622,8,0.2397,8,1.3435,4.634256363,0.2194,8,0.401,8,1.5508,2.124544621,5.2069,0.020322172,1.0666,8,NA,NA,1.564,3.706771612,0.4887,8,1.9272,0.362124264,NA,NA,4.4367,0.013990878,1.0491,4.365504265,0.6619,8,1.4073,1.539584875,1.3489,2.849743128,1.7745,1.533447862,0.3636,8
RL952_ENDOMETRIUM,1.2066,5.130570412,0.479,8,3.2136,0.037230793,0,8,1.3016,3.012983322,0.6145,8,1.6957,2.097080231,0.8308,4.404100418,0.3091,8,1.5608,3.739773512,4.9122,0.036188725,0.1355,8,2.1034,2.114158869,1.9966,3.644716978,0.1315,8,3.5574,0.063616872,0.5663,8,6.095,0.0025,2.7961,1.525693893,0.228,8,2.0185,0.296583891,1.0425,1.342188239,1.3047,3.467645168,1.5385,3.060330629
J82_URINARY_TRACT,0.5417,8,NA,NA,2.8006,0.286560714,0.7733,8,0.07309,8,0.2029,8,0.321,8,0.2938,8,0.003353,8,0.8977,8,3.699,0.15639317,0,8,NA,NA,3.0246,0.487003028,0.8301,8,0.7796,8,0.01258,8,3.7283,0.096582435,0.8117,8,0.05758,8,0.6166,8,0.3088,8,0.6612,8,0.3626,8
HCC15_LUNG,1.1557,8,0.3714,8,3.8606,0.038541321,1.0101,8,0.6883,8,0.5754,8,0.9268,8,0.6549,8,0,8,0.9135,8,4.8063,0.043119021,0.827,8,NA,NA,2.5426,0.735330224,1.6691,2.76161027,1.8382,8,0.1374,8,5.2761,0.007085041,1.4084,8,0.5192,8,1.6292,5.655051231,1.3415,3.222835064,0.8745,7.708233356,0.3449,8
CALU6_LUNG,1.511,2.476439953,NA,NA,3.0328,0.183477089,0.4372,8,0.1923,8,0.106,8,1.5736,4.705996513,0.7092,3.92736125,NA,NA,0.7187,8,4.0829,0.075920977,0.8441,8,NA,NA,3.0781,0.967333257,1.0712,8,3.2483,0.162139654,NA,NA,6.5055,0.003513228,1.5986,3.664028168,1.0378,0.809417602,NA,NA,2.1373,0.77653265,0.79,6.327209473,0.4963,7.807984352
SKLU1_LUNG,1.1,7.528018475,0.2903,8,4.1513,0.035872128,1.0882,8,0.7137,8,0.7127,8,1.7584,4.573153973,0.7572,8,0.1226,8,1.5185,2.856010199,4.0676,0.14629741,0.02507,8,2.8009,0.246181339,3.1782,0.383002907,1.6585,3.13118996,2.4447,8,0.8757,8,4.591,0.022293221,1.4771,8,0.5841,8,2.0361,0.875099957,1.8224,2.181696177,1.5633,3.957035065,0.5373,8
SW900_LUNG,0.3003,8,0.3543,8,2.5565,0.320660651,0.09265,8,0.4217,8,0.3107,8,0.3648,8,0.5228,8,0.03436,8,0.2478,8,1.8786,1.140692115,0.4596,8,NA,NA,1.0695,2.782518864,0.5001,8,1.1128,4.372600087,0.4161,8,4.5352,0.0188492,0.3037,8,0.01962,8,0.6137,8,0.4458,8,0.464,8,0.1385,8
UACC62_SKIN,0.868,8,NA,NA,4.5286,0.063543618,0.8429,8,0.565,8,1.1217,8,1.0493,8,0.7375,8,NA,NA,0.6134,8,4.6762,0.038887445,0.398,8,NA,NA,3.8193,0.212087214,0.913,8,4.916,0.010513669,NA,NA,5.3255,0.015443877,3.9363,0.035012472,3.0249,0.249700621,2.0133,1.064698339,1.354,5.010543346,0.7377,6.872558594,0.6873,8
MFE280_ENDOMETRIUM,0.5249,8,0.3222,8,3.2444,0.207526833,0.1629,8,0.8911,8,0.3682,8,0.7199,8,0.46,8,0.2754,7.790372372,1.5907,3.284461021,4.9023,0.045543484,0.4915,8,2.0817,0.743656993,2.3197,2.228371859,0.1119,8,1.4506,8,0.4306,8,3.8856,0.026499297,0.5816,8,0.1392,8,1.5917,1.383289038,0.6407,1.694626625,1.2541,8,0.9432,8
MFE319_ENDOMETRIUM,0.7763,7.701841831,NA,NA,2.5464,0.079697538,0.8592,8,1.5418,1.026923045,0.5247,8,2.3456,0.021723795,0.658,8,0.3238,8,1.3823,0.913547873,4.2531,0.059672192,0.3111,8,NA,NA,2.5258,2.104567289,0.8158,0.012244954,1.4756,2.332025623,NA,NA,6.2607,0.002685393,0.9563,8,0,8,NA,NA,0.5841,8,1.2325,3.977695704,1.5436,1.622308969
MFE296_ENDOMETRIUM,0.9253,7.501813412,NA,NA,2.9064,0.328074843,0.453,8,0.4447,8,0.4547,8,1.1319,5.239851952,0.5073,8,0.4872,8,1.5118,1.809985042,3.909,0.060532678,0.583,8,NA,NA,4.5965,0.066732004,1.0266,8,0.6229,7.721744537,NA,NA,5.9629,0.00617474,0.314,8,0.3759,8,1.9443,0.706745684,0.7959,6.642848015,1.3124,2.566447973,0.6176,8
GI1_CENTRAL_NERVOUS_SYSTEM,0.5457,8,NA,NA,3.6972,0.198652357,0.4336,8,0.216,8,0.5693,8,0.5236,8,1.0878,8,0.2226,8,1.2145,8,4.6003,0.056552041,0.4663,8,NA,NA,2.6126,1.793213606,0.4723,8,0.7663,8,NA,NA,5.6551,0.01261146,0.6094,8,0.6865,8,NA,NA,1.8359,3.301204205,0.7001,8,0.1787,8
PC14_LUNG,1.5768,3.168638706,NA,NA,4.4138,0.101145402,1.0704,8,1.6271,2.149658918,0.09898,8,3.3372,0.309162945,0.5781,8,1.3271,2.704679489,3.3291,0.226037949,4.1845,0.078054368,0.4259,8,NA,NA,3.389,0.436552972,0.8567,8,1.4392,8,NA,NA,6.7585,0.00405059,1.2008,8,0.3088,8,NA,NA,1.7777,1.986695051,1.1328,4.144682407,3.7177,0.064618558
KYSE410_OESOPHAGUS,1.0965,2.273355246,0.5324,5.128837109,3.1735,0.269242465,0.704,8,1.1965,3.808474779,0.1933,8,1.2755,8,0.6978,8,0.1766,8,1.8618,6.043905258,4.147,0.013451349,0.2293,8,1.4083,0.140010215,0.9707,3.549948931,0.4363,8,1.0033,8,0.2584,8,3.8109,0.023948349,0.4508,8,0.09375,8,0.822,8,1.2969,8,0.2454,8,0.4664,4.905516624
A204_SOFT_TISSUE,0.5525,5.150311947,1.727,1.081994414,3.5747,0.029675882,0.6474,8,0.3485,7.399832726,0.364,8,0.714,6.074995518,0.5515,3.820780754,0.293,8,0.968,1.636199594,3.6206,0.023814078,2.0935,0.530858815,2.8739,0.166834161,2.586,0.419383049,0.3017,8,0.5889,5.23065485,0.8348,8,4.3533,0.006528344,0.117,8,0.05216,8,2.2706,0.331275523,1.2913,2.659318924,2.2652,0.639516056,0.3697,8
PATU8902_PANCREAS,1.3212,3.122636318,NA,NA,2.4817,0.660462797,0.6979,8,0.2098,8,0.4023,8,0.9396,8,0.4002,8,0.405,8,0.9198,8,3.9954,0.093863286,0.4794,8,NA,NA,2.263,1.78911376,0.6972,8,2.216,8,NA,NA,3.2911,8,1.4749,8,0.2355,8,NA,NA,1.4907,2.869775534,0.6359,8,0.0789,8
NCIH810_LUNG,1.3572,2.855264425,0.8719,5.777545452,1.5995,8,0.2943,8,0.4256,8,0.5109,8,0.2285,8,0.7947,8,0.8398,3.648806334,0.3811,8,5.4403,0.011893968,0.5582,8,3.0313,0.466829419,1.8683,8,0.5784,8,0.1101,8,0.304,8,4.6234,0.011509144,0.1913,8,0.2752,8,0.6182,8,1.318,3.186504126,0.6411,8,0.1621,8
RERFLCMS_LUNG,0.4693,8,0,8,3.202,0.161490873,NA,NA,0.03182,8,0,8,0.06091,8,0.005164,8,0.01935,8,0.878,8,3.3784,0.16285108,0.07522,8,NA,NA,1.2569,3.05450654,NA,NA,0.6165,8,0.0986,8,5.9558,0.008268842,NA,NA,0.482,8,0.4206,7.764565945,0.07675,8,0.2032,8,0,8
NCIH460_LUNG,1.0809,6.268196106,NA,NA,4.2751,0.0637509,0.1941,8,0.1102,8,0.2963,8,0.1118,8,0.3076,8,0.6794,8,0.8723,8,4.002,0.098729089,0.1393,8,NA,NA,3.151,0.247599795,0.2832,8,1.3956,8,NA,NA,4.9726,0.029035103,0.6252,8,0.1837,8,0.9633,7.260767937,0.8719,6.896989346,0.4967,8,0.06994,8
KYSE140_OESOPHAGUS,1.627,1.963032126,NA,NA,1.6901,0.961978316,1.2101,8,2.2679,0.688929975,0.2324,8,1.8523,1.507840991,0.385,8,NA,NA,1.284,1.44893086,3.5643,0.117554843,0.1106,8,NA,NA,2.3975,1.071992775,0.7395,8,1.9335,2.105214119,NA,NA,3.5397,0.02538952,0.1921,8,0.4187,6.805239201,NA,NA,0.808,6.06253624,1.4472,1.849872947,2.1105,0.617637634
KYSE180_OESOPHAGUS,1.2614,3.612831354,NA,NA,4.5305,0.075374797,0.4611,8,1.7008,0.876243353,0.4469,8,1.6671,2.983515978,1.0874,8,NA,NA,0.786,4.599080086,3.9365,0.10288962,0.3126,8,NA,NA,3.9397,0.431775212,0.6691,8,0.3991,8,NA,NA,6.5708,0.00803466,0.3191,8,0.5049,8,NA,NA,1.0755,2.578639507,0.8789,5.095852375,1.55,1.630503893
HUPT3_PANCREAS,0.5173,8,0.1507,8,2.5525,0.300195903,0.1855,8,0.1481,8,0.3224,8,0.7185,7.702197075,0.391,8,0,8,1.1563,4.119925499,3.932,0.091935344,0.1761,8,2.011,1.762922764,1.9046,1.416436672,0.6851,8,2.2718,0.355318874,0.3721,8,4.484,0.023696937,1.6739,1.915635943,0.1687,8,0.9198,8,0.1825,8,0.7941,8,0.2869,8
EFE184_ENDOMETRIUM,0.5889,8,0.2116,8,1.8778,0.387381613,0.333,8,1.0358,8,0.1986,8,1.4942,2.867263794,0.2181,8,0,8,0.7584,8,3.3759,0.144777134,0.3326,8,2.2955,0.910060167,1.6699,2.294300079,0.2116,8,1.3875,8,0.03832,8,2.0256,8,1.1417,8,0,8,0.8661,6.336449623,0.4804,8,0.3328,8,0.5729,8
SW579_THYROID,0.4121,8,1.0923,3.264090061,4.6507,0.080146693,0.1384,8,0.219,8,0.9223,8,1.5267,4.161397457,0.4107,8,0,8,2.0944,2.970928907,4.3588,0.058784194,1.8088,8,3.4352,0.172142565,3.4254,0.287809223,0.8646,8,1.3252,5.793187141,0.2898,8,5.6305,0.015498778,0.3181,8,0.632,8,1.8535,2.799239397,1.35,5.123246193,2.145,1.646891594,0.3561,8
MDAMB468_BREAST,1.9311,2.823380709,0.6117,4.322463036,2.575,0.367030263,0.868,5.090885788,1.4168,2.312558651,0.9397,8,1.016,7.844894409,1.0025,5.620063782,1.5567,0.510712083,1.8697,2.356126785,3.384,0.282739013,0.8336,2.424199783,3.8767,0.164094135,3.7305,0.195560917,0.8595,8,1.5386,8,0.903,8,6.075,0.0025,0.9323,8,0.1516,8,1.9761,1.028384566,1.4916,2.787567377,1.6093,1.004693367,1.8648,1.153329258
TOV112D_OVARY,0.4272,8,0.4922,8,2.6725,0.383055866,0.3554,8,0.4868,8,0.6416,8,1.8421,8,0.6993,8,0.2808,8,1.1847,6.461184978,4.3584,0.060783334,0.9695,7.147336483,3.8142,0.124151275,3.9431,0.190528721,0.1064,8,0.8026,8,0.7611,8,6.2674,0.005249934,0.09705,8,0.05898,8,1.6093,2.930091619,1.4665,2.203894615,1.1542,3.738739729,0.8777,8
BT549_BREAST,1.0007,5.445250988,0.641,8,4.799,0.020397235,0.1106,8,1.0001,8,0.2901,8,0.8363,8,0.533,7.568719387,0.1532,8,0.9727,4.104511738,3.7698,0.114801176,0.5889,6.408694744,3.4086,0.124761164,4.1961,0.079294346,1.6262,8,0.1503,8,0,8,5.817,0.005155943,0.2601,8,0.4886,8,2.1067,1.155879736,0.7964,5.395706654,1.0845,3.910804987,0.2467,8
CAL851_BREAST,1.3703,2.28115654,0.07419,8,3.6877,0.175339907,0.04997,8,1.9052,1.899548173,0.1528,8,1.7728,1.580660701,0.2923,8,0.09294,8,1.7151,0.827255785,4.751,0.028650077,0.04859,8,2.8611,0.262406975,2.4477,0.609531581,1.9431,5.117346764,2.3533,0.679533243,0.2048,8,5.3918,0.016368471,1.7048,3.014279604,0.2709,8,2.3477,0.650694251,0.9655,8,0.322,8,2.0234,0.870514452
EFO21_OVARY,1.1699,8,0.08193,8,2.2269,0.288561821,0.2856,8,0.5927,8,0.2278,8,0.6374,8,0.3743,8,0.09827,8,1.2608,2.893858194,3.2021,0.168179944,0.5223,4.917966366,1.9361,0.714112222,2.5609,0.552219272,0.6449,8,1.0839,8,0.09228,8,3.8972,0.030291224,0.8452,8,0.2946,8,1.9322,1.678150773,1.7014,1.474155068,0.696,8,0.463,8
A375_SKIN,1.4484,2.755423546,0.521,8,3.5625,0.169737235,0.4121,8,0.1527,8,0.4491,8,0.9057,8,0.7175,5.895261765,0.02134,8,0.8069,8,4.6373,0.046768632,0.6118,7.351113796,3.9345,0.146155894,3.2038,0.324800313,0.09724,8,4.8148,0.007476748,0.1961,8,6.0932,0.007149658,3.2996,0.106830887,2.9645,0.258287698,2.2543,0.622677207,1.8735,1.073880553,1.0899,3.641974449,0.2889,8
HT29_LARGE_INTESTINE,1.8932,1.376474261,0.4398,8,5.3135,0.016734079,0.2648,8,0.8029,5.884946823,0.3962,8,0.9439,4.436421871,0.5708,7.508038998,0.1403,8,1.2904,8,4.5754,0.047861759,0.658,8,3.1076,0.301147372,2.4461,0.708593786,0.1759,8,4.683,0.011746166,0.343,8,6.2246,0.0025,4.148,0.097565152,1.6266,1.678125024,2.0208,0.81959039,2.1444,0.774102986,0.9653,4.960608482,0,8
HS294T_SKIN,0.969,3.668646574,0.1473,8,2.7954,0.229678199,0.1508,8,0.3933,8,0.5178,8,0.6296,8,0.5367,8,0.0003624,8,0.5163,8,3.8112,0.070828229,0.01333,8,2.3295,0.324935049,2.4773,0.717730522,1.8489,2.430908442,2.213,8,0.2844,8,4.8987,0.00757048,1.0543,8,0.6301,8,1.4222,2.904636383,0.9395,5.729112625,0.6116,8,0.6342,8
SKMEL5_SKIN,1.3453,3.740865231,0.4471,8,1.6628,0.210538805,0.2392,8,0.03464,8,0.9531,8,0.2502,8,0.273,8,0.07814,8,0.2841,8,4.3233,0.034428976,0.9226,7.074476242,3.1361,0.169432431,2.5007,0.366303653,1.3178,8,4.2166,0.013439163,0.3079,8,4.9196,0.0025,2.9562,0.168868572,2.0478,0.369111031,3.0013,0.523400962,0.8215,3.842323303,0.6991,6.192871094,0.4067,8
HS944T_SKIN,0.919,8,0.2055,8,3.4641,0.128760532,0.3612,8,0.2636,8,0.4258,8,0.7203,8,0.71,5.190103054,0.1918,8,0.7532,8,4.3351,0.055881042,0.6535,8,4.1102,0.089219473,3.7638,0.128988206,3.0047,0.17926456,3.1033,0.143660545,0.2519,8,6.4682,0.003847174,2.5552,1.176047325,0.7113,5.65844059,2.182,0.352730155,0.8553,5.717155933,1.2664,4.454998016,0.3722,8
PC3_PROSTATE,0.4745,8,0.3649,8,2.0787,0.388138115,0.01305,8,0.3291,8,0.4157,8,1.6719,3.725782156,0.1819,8,0.02175,8,0.8141,4.980614185,3.2379,0.082746394,0.4568,8,1.9126,0.391232997,1.5711,1.130956054,0.1617,8,0,8,0.01016,8,4.2393,0.017974542,0.2844,8,0.1995,8,1.2956,8,0.9641,6.503806591,0.5543,8,0.5852,8
RT112_URINARY_TRACT,2.1877,0.986451328,0.2699,8,4.3543,0.063486055,0.1706,8,0.7505,6.525924206,0.6725,8,1.0985,7.906232357,1.2498,5.654008865,0.02406,8,1.3419,2.764793873,4.9117,0.043147512,0.6547,4.822282791,3.78,0.231587827,4.3472,0.085220702,0.3585,8,3.0522,0.468805701,0.5327,8,6.9774,0.003794526,1.6626,3.992265224,0.02544,8,0.9746,3.112339973,2.9431,0.549882889,2.3504,0.638750255,0.3784,8
NUGC3_STOMACH,1.0673,8,0.5547,8,4.1622,0.061240714,0.2236,8,1.5373,2.410752535,0.3105,8,0.9751,3.666167736,0.4736,8,0.7761,4.558412941,1.772,2.02683115,4.2428,0.073447652,1.0741,7.127600193,4.6195,0.051157556,4.3889,0.11532969,0.6979,8,2.1154,8,0.1617,8,7.0402,0.0025,1.6916,8,0.8798,8,1.7195,1.555441022,1.003,2.938385487,0.6742,6.817145348,1.82,0.738386512
U87MG_CENTRAL_NERVOUS_SYSTEM,0.3154,8,0.2714,8,3.4931,0.106696405,0.443,8,0.5471,8,0.4944,8,0.03487,8,0.8907,8,0.002326,8,0.2363,8,3.4181,0.077179208,0.2031,8,1.4987,0.791709542,1.6427,2.604696751,0.2053,8,1.3091,6.600532055,0.6737,8,4.303,0.009391576,0.4738,8,0.02147,8,1.4162,3.274888515,0.5188,8,0.477,8,0.07387,8
CAKI2_KIDNEY,1.1466,8,0.03836,8,1.6136,0.420389295,0,8,0.7662,8,0.1525,8,1.4118,3.029133558,0,8,0.1271,8,1.2657,2.70011282,3.6886,0.102963939,0.4486,8,0.5537,2.417576313,1.1215,2.470702171,0.3552,8,1.8386,3.027319193,0.1423,8,4.8113,0.012742911,1.2769,8,0.4033,8,1.5667,0.915781975,0.729,8,0.9492,7.215180874,1.0932,5.182852745
KMRC2_KIDNEY,0.8069,0.482534881,0.1628,8,2.2171,2.275416613,0.05675,8,0.7808,8,0.8298,8,2.8096,8,0.9416,8,0,8,2.2647,3.271318436,3.2458,0.16670607,0.4541,8,1.6298,2.883164406,2.3736,8,0.4269,8,1.0423,8,0,8,3.9946,0.015890298,0.5113,8,0.5086,8,1.4841,8,1.8094,2.807507753,0.6557,8,0.505,8
JHH2_LIVER,0.6633,8,0.4738,8,1.9145,8,0.02149,8,0.4059,8,0.1904,8,1.6623,2.284733534,0.4645,8,0.04782,8,1.7901,4.475026608,4.3211,0.080088854,0.1974,8,2.7736,0.848505259,2.203,8,0.286,8,0.9955,6.222815514,0.04275,8,3.9899,0.131836876,0.3716,8,0.2102,8,1.0566,8,0.3419,8,0.6265,7.455170631,0.4617,8
IM95_STOMACH,1.8968,8,2,8,5.2425,0.03782573,2.4817,8,1.3837,8,0.4315,8,1.59,8,1.8964,8,2.1175,8,2.539,1.355574012,5.6788,0.045340344,0.4556,8,NA,NA,2.9373,0.873082639,1.4143,8,3.5032,0.19030641,2.7932,8,6.4774,0.017334834,4.5529,0.746988351,1.0346,8,1.4441,8,0.4255,8,1.7889,8,2.1284,8
WM2664_SKIN,0.408,8,NA,NA,5.5988,0.021235578,0.1215,8,0.1532,8,0.7351,8,0,8,0.6252,8,0.1337,8,1.2894,7.400742054,4.9417,0.035193659,0.1223,8,NA,NA,3.3541,0.136322498,0.1912,8,4.8727,0.019812323,NA,NA,4.0908,0.010564829,3.4457,0.165270492,1.5993,1.578695059,1.965,1.220496655,0.4785,8,0.6291,8,0.08816,8
KMRC1_KIDNEY,1.1574,8,0.1906,8,2.7651,0.309771448,0.3043,8,0.4486,8,0.834,8,1.6644,3.98032403,0.4754,8,0.7012,8,1.5469,8,3.2386,0.202177405,0.337,8,2.3962,0.458422363,2.4108,1.30197835,0.1215,8,1.5562,8,0.7256,8,4.304,0.146975428,0.703,8,0.2211,8,1.3821,8,0.8743,6.742055893,1.2307,1.853257656,0.8457,8
T84_LARGE_INTESTINE,1.1858,8,0.7187,8,2.5327,0.53340598,0.4742,8,0.2998,8,1.0549,8,1.0293,8,0.8613,2.514954444,0.5854,8,1.563,8,3.9686,0.134843722,0.614,8,2.2281,6.51297035,1.1731,1.444865861,0.3676,8,2.1085,8,0.8757,8,4.1065,0.057363126,1.568,8,0.5119,8,0.8543,8,2.3855,8,0.007705,8,1.0015,8
CALU1_LUNG,0.1548,8,0.1917,8,3.3698,0.103493586,0.195,8,0.3518,8,0.3751,8,0.2008,8,0.08662,8,0.01624,8,0.3933,8,3.5222,0.154305071,0.05791,8,1.8093,1.865310788,1.9735,2.019465446,0.06953,8,2.1985,8,0.04588,8,4.1905,0.020688187,1.6146,8,0,8,1.5971,1.676192641,0.8478,6.918637276,0.6033,7.994287491,0.04256,8
LOXIMVI_SKIN,0.4342,8,NA,NA,4.0766,0.18541798,0.469,8,0.0391,8,0.5973,8,1.2245,2.388597727,0.6165,5.29121542,0.05401,8,0.9262,8,4.405,0.069422469,0.524,8,NA,NA,4.1702,0.110076092,0.6136,8,2.7549,1.002676487,0.02421,8,4.9676,0.004568389,2.4416,0.589701712,1.0243,8,1.3366,2.708920717,1.1578,4.300870419,0.6485,8,0.09979,8
NCIH2170_LUNG,0.9193,8,0.9569,3.32824254,4.5194,0.015281511,0.118,8,3.1451,0.300980896,0.3865,8,1.7978,2.416388035,0.5128,8,0.1361,8,1.8922,2.655644894,5.0943,0.039551973,0.1748,8,3.5838,0.163862392,4.5073,0.062579744,0.1053,8,0.684,8,1.1408,8,6.47,0.002542614,0.3377,8,0.01563,8,1.4324,6.187165737,1.5386,1.748815775,0.8038,8,2.0307,1.564355135
SQ1_LUNG,1.0544,8,NA,NA,4.1275,0.123309262,1.4825,8,0.6781,8,0.06167,8,1.9154,3.167957306,0.06157,8,0.4788,8,2.2652,4.644804478,4.9539,0.048271563,0.6838,8,NA,NA,2.0749,0.315580066,3.2487,0.293628186,1.1333,2.799669504,NA,NA,4.5905,0.022958782,0.9389,8,0.5213,8,NA,NA,0.7909,7.319000244,1.0249,8,0.9531,5.999964714
AN3CA_ENDOMETRIUM,0.3505,8,0.1972,8,4.0092,0.074334152,0.5684,8,0,8,0.8132,8,0.4755,8,0.02807,8,0.09343,8,1.8901,1.5007056,3.5863,0.117322117,0.1933,8,NA,NA,1.4581,4.924846172,0.7078,8,0.7369,8,0.6144,7.054941654,5.5767,0.008545323,0.6207,8,0.3717,8,1.095,4.145510197,0.2236,8,1.06,4.424171925,0.3018,8
NCIH2444_LUNG,0.5609,8,0.1556,8,2.3125,0.268049806,0.4396,8,1.0206,1.746527776,0.2141,8,0.528,8,0.2978,8,0.1334,8,0.6515,8,4.1274,0.078222416,0.1305,8,3.0533,0.618729711,1.3742,3.432085276,1.4321,8,2.4795,0.267063349,0.7247,6.714149952,4.1579,0.036365941,1.2551,8,0.1747,8,0.9508,5.748154163,0.3241,8,0.1748,8,0.4111,8
UACC257_SKIN,0.5798,8,NA,NA,2.2128,0.176819474,0.2647,8,0.01452,8,0.4674,8,0.3102,8,0.1327,8,0.1982,8,0.9322,7.215845585,4.057,0.080886342,0.3558,8,NA,NA,2.1144,2.068000317,0.2906,8,4.2295,0.019956499,NA,NA,3.6187,8,2.9813,0.234048441,2.0796,1.064142346,1.2821,2.716838837,0.4377,8,0.3173,8,0,8
KYSE510_OESOPHAGUS,1.3086,4.977478504,NA,NA,3.7623,0.175444975,0.6993,8,0.311,8,0.6075,8,0.348,8,0.1044,8,0.2331,8,0.2942,8,3.8037,0.152823612,0.6993,8,NA,NA,4.2576,0.078613929,0.7552,8,0.04356,8,NA,NA,6.5046,0.002542614,0.2195,8,0.4983,8,NA,NA,0.5215,8,0.8546,8,0.3023,8
HUPT4_PANCREAS,2.0752,1.387827429,1.2267,5.09538269,4.9176,0.010569213,0.7677,8,1.1058,7.055700302,1.0421,8,2.4276,1.139991403,1.6044,4.204384804,0.618,8,2.3812,0.675578058,5.0741,0.025808295,0.15,8,NA,NA,4.3506,0.105005339,1.409,8,4.3231,0.066378251,1.2859,8,5.8226,0.0025,2.1476,0.355978675,0,8,2.2658,1.958483934,2.8087,0.523111582,0.9989,8,1.4576,4.255131245
MOGGCCM_CENTRAL_NERVOUS_SYSTEM,0.2712,8,0.08413,8,2.3529,0.271819055,0.08686,8,0,8,0.254,8,0.6568,8,0.2404,8,0,8,0.4348,8,3.2096,0.206775829,0.3726,8,NA,NA,0.8864,8,0.326,8,0.01472,8,0.1563,8,5.3376,0.02381664,0.2843,8,0.1972,8,0.3428,8,0.1734,8,0.0637,8,0,8
KYSE30_OESOPHAGUS,0.9594,8,0.4685,8,2.8684,0.811484754,0.139,8,0.521,7.858886242,0.2538,8,1.2127,8,0.5526,8,0.03003,8,1.1229,8,3.8094,0.128507599,0.466,8,2.8093,0.788275123,2.9748,0.644506454,0.6556,8,3.742,0.084109992,0.09123,8,5.8173,0.007177499,3.1061,0.604180574,0.8567,8,1.0124,8,1.2814,4.018353462,0.5281,8,0.9731,8
KYSE150_OESOPHAGUS,0.4188,8,NA,NA,3.8432,0.080904983,0,8,0.5937,8,0.2893,8,0.3552,8,0.267,8,0.2318,8,0.8659,8,3.4319,0.183333397,0.08508,8,NA,NA,1.5052,3.841142893,0.6142,8,0.5862,8,NA,NA,4.5075,0.016105084,0.08227,8,0.1422,8,0.8829,6.57502985,0.4303,8,0.5562,8,0.7703,5.205513954
PSN1_PANCREAS,0.5187,8,NA,NA,3.4967,0.150998741,0.7477,8,0.05786,8,0.2706,8,0.1458,8,0.04047,8,0.543,8,0.4477,8,4.1128,0.088243522,0.2279,8,NA,NA,2.709,0.511069894,0.3796,8,3.0172,0.246631786,NA,NA,5.7164,0.01755916,2.4693,0.797091246,0.07306,8,NA,NA,0.8693,7.245391846,0.2996,8,0.2199,8
NCIH1299_LUNG,1.2383,5.331521988,NA,NA,3.5108,0.267252147,0.7558,8,0.2706,8,1.0899,8,1.4866,8,0.9098,8,0.4863,8,0.7984,8,3.6257,0.15109387,1.5557,8,NA,NA,3.8423,0.2542018,1.249,8,2.7295,0.440331429,NA,NA,5.549,0.014950856,3.1961,8,0.5758,8,2.203,0.721200943,1.9109,4.313905716,1.2805,5.109177589,0.7121,8
IGR37_SKIN,1.4834,0.13937079,0.8076,8,3.0876,8,0.03001,8,0.4278,8,0.5574,8,0.6652,8,1.0685,8,0.2019,8,0.5995,8,4.655,0.052000597,0.7135,8,3.7394,0.27013734,2.9305,0.686573923,0.4557,8,4.6732,0.021839682,0.9764,8,6.1199,0.007616556,3.6362,0.21325025,2.2723,0.904429674,2.0066,1.198535204,1.4119,8,0.6398,8,0.3618,8
PANC0403_PANCREAS,0.7045,4.073606968,0.6639,8,2.6612,0.069349982,0.09142,8,0.6503,8,0.3671,8,0.7926,8,0.5411,5.029359341,0.1511,8,0.3849,8,3.5197,0.048179701,0.4002,0.993234644,1.7691,0.453512251,1.7677,0.749540627,0.3004,8,2.8214,0.380417019,0.2123,8,3.9711,0.010263606,1.4602,8,0.09336,8,0.688,3.236628056,1.5515,0.686774373,0.4505,8,0.494,8
