Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
CTC-518P12.6	ENSG00000267484.1	1.360	0.000	1.239	7.45e-56
CTC-524C5.2	ENSG00000263272.1	2.290	6.610	-1.210	2.20e-59
CTC-529I10.1	ENSG00000275413.1	1.110	4.460	-1.372	4.40e-85
CTC-529I10.2	ENSG00000227782.2	1.120	5.080	-1.520	1.59e-100
CTC1	ENSG00000178971.13	13.620	35.599	-1.324	3.02e-87
CTD-2007L18.5	ENSG00000260808.1	0.410	1.940	-1.060	2.11e-117
CTD-2013N17.6	ENSG00000280332.1	0.640	2.480	-1.085	2.57e-93
CTD-2013N24.2	ENSG00000244513.6	1.440	5.700	-1.457	7.80e-152
CTD-2015H6.3	ENSG00000249042.5	7.090	2.650	1.148	7.97e-119
CTD-2020K17.1	ENSG00000267121.5	2.580	10.930	-1.737	1.55e-61
CTD-2022H16.2	ENSG00000259749.1	0.000	1.030	-1.021	6.96e-138
CTD-2026K11.1	ENSG00000260892.1	0.140	2.770	-1.726	9.15e-107
CTD-2026K11.6	ENSG00000203392.3	0.480	2.030	-1.034	7.38e-102
CTD-2033D15.2	ENSG00000276107.1	0.490	9.870	-2.867	1.86e-122
CTD-2033D15.3	ENSG00000278621.1	0.510	11.120	-3.005	9.12e-170
CTD-2036P10.6	ENSG00000274403.1	0.220	1.640	-1.114	1.00e-138
CTD-2054N24.2	ENSG00000259363.5	0.560	2.160	-1.018	9.76e-112
CTD-2135D7.5	ENSG00000262097.1	0.260	1.950	-1.227	6.87e-79
CTD-2192J16.22	ENSG00000269242.1	4.870	17.460	-1.653	2.35e-66
CTD-2224J9.4	ENSG00000241434.1	1.330	0.000	1.220	1.04e-3
CTD-2224J9.8	ENSG00000213777.5	0.090	1.380	-1.127	1.67e-124
CTD-2228K2.7	ENSG00000225138.7	6.060	20.381	-1.599	1.17e-32
CTD-2235C13.1	ENSG00000242198.1	0.380	2.020	-1.130	4.59e-89
CTD-2267D19.1	ENSG00000278918.1	0.230	1.830	-1.202	3.64e-172
CTD-2270P14.1	ENSG00000260565.6	2.610	10.250	-1.640	7.06e-106
CTD-2303H24.2	ENSG00000273018.5	1.690	6.840	-1.543	2.12e-65
CTD-2325P2.4	ENSG00000259038.1	1.310	0.000	1.208	7.95e-46
CTD-2368P22.1	ENSG00000176593.7	1.610	4.530	-1.083	3.97e-89
CTD-2373N4.3	ENSG00000279041.1	1.130	3.320	-1.020	1.19e-71
CTD-2510F5.4	ENSG00000265415.1	1.690	0.270	1.083	2.67e-78
CTD-2517M22.14	ENSG00000255182.2	1.400	4.900	-1.298	3.16e-45
CTD-2527I21.14	ENSG00000271032.1	0.830	4.120	-1.484	1.99e-83
CTD-2531D15.5	ENSG00000255126.1	0.240	3.630	-1.901	3.51e-31
CTD-2537I9.12	ENSG00000267523.1	3.850	20.010	-2.115	2.14e-93
CTD-2545G14.4	ENSG00000279812.1	0.000	3.330	-2.114	1.43e-36
CTD-2545M3.8	ENSG00000268518.1	0.340	2.590	-1.422	3.65e-101
CTD-2562J17.6	ENSG00000279117.1	9.130	29.019	-1.567	1.66e-77
CTD-2619J13.13	ENSG00000268307.1	2.550	0.490	1.253	6.21e-53
CTD-2647L4.4	ENSG00000259366.1	1.360	5.510	-1.464	4.19e-131
CTD-3010D24.3	ENSG00000263893.2	1.250	0.000	1.170	1.24e-92
CTD-3035K23.7	ENSG00000274565.1	0.650	6.230	-2.132	1.02e-167
CTD-3064M3.3	ENSG00000261655.1	0.400	2.360	-1.263	2.43e-138
CTD-3088G3.8	ENSG00000188897.8	0.420	3.930	-1.796	2.26e-129
CTD-3092A11.1	ENSG00000215302.8	0.660	3.230	-1.349	7.07e-124
CTD-3092A11.2	ENSG00000270055.1	3.000	16.820	-2.155	1.54e-124
CTD-3128G10.6	ENSG00000269680.1	1.240	4.050	-1.173	1.32e-72
CTD-3141N22.1	ENSG00000241069.1	1.320	0.000	1.214	3.70e-3
CTD-3184A7.4	ENSG00000232442.1	4.780	17.750	-1.698	3.63e-78
CTD-3193O13.11	ENSG00000268120.1	4.550	0.920	1.531	1.02e-81
CTD-3214H19.16	ENSG00000269711.1	2.170	21.561	-2.831	3.29e-89
CTD-3252C9.4	ENSG00000267519.3	8.580	39.560	-2.082	6.39e-96
CTGF	ENSG00000118523.5	73.109	219.183	-1.571	7.40e-53
CTHRC1	ENSG00000164932.12	58.679	4.980	3.319	7.50e-143
CTIF	ENSG00000134030.13	6.640	19.601	-1.431	1.79e-146
CTNNAL1	ENSG00000119326.14	18.911	40.079	-1.045	6.51e-67
CTRL	ENSG00000141086.17	0.450	2.300	-1.186	5.35e-112
CTSG	ENSG00000100448.3	1.020	6.570	-1.906	1.14e-67
CTSV	ENSG00000136943.10	3.270	0.540	1.471	1.11e-66
CTTNBP2	ENSG00000077063.10	0.480	2.120	-1.076	2.06e-102
CX3CL1	ENSG00000006210.6	24.560	63.689	-1.340	1.14e-42
CXADR	ENSG00000154639.18	13.680	4.270	1.478	1.72e-83
CXCL10	ENSG00000169245.5	21.561	6.640	1.562	5.88e-33
CXCL12	ENSG00000107562.16	16.731	45.911	-1.404	9.52e-65
CXCL13	ENSG00000156234.7	20.500	0.430	3.910	7.42e-131
CXCL14	ENSG00000145824.12	18.610	3.520	2.117	1.16e-43
CXCL17	ENSG00000189377.8	278.261	132.339	1.067	1.41e-22
CXCL2	ENSG00000081041.8	22.960	71.669	-1.601	3.74e-46
CXCL3	ENSG00000163734.4	3.830	17.170	-1.911	5.28e-74
CXCL9	ENSG00000138755.5	22.910	4.770	2.051	1.99e-41
CXCR1	ENSG00000163464.7	0.220	5.770	-2.472	9.48e-194
CXCR2	ENSG00000180871.7	0.500	4.500	-1.874	1.44e-150
CXCR3	ENSG00000186810.7	3.690	1.050	1.194	1.84e-58
CXorf36	ENSG00000147113.16	3.290	12.480	-1.652	4.43e-134
CXorf57	ENSG00000147231.13	0.680	2.680	-1.131	1.84e-87
CXorf65	ENSG00000204165.5	0.600	2.480	-1.121	4.35e-76
CXXC1	ENSG00000154832.14	31.999	74.058	-1.186	6.72e-69
CYBRD1	ENSG00000071967.11	30.041	94.588	-1.623	3.06e-88
CYGB	ENSG00000161544.9	9.100	25.760	-1.406	1.11e-117
CYP24A1	ENSG00000019186.9	10.810	0.150	3.360	1.62e-91
CYP27A1	ENSG00000135929.8	29.531	75.331	-1.322	2.25e-71
CYP2B7P	ENSG00000256612.7	37.250	106.410	-1.490	2.75e-23
CYP2D7	ENSG00000205702.10	0.940	4.560	-1.519	3.07e-73
CYP2J2	ENSG00000134716.9	4.660	1.140	1.403	7.98e-91
CYP3A5	ENSG00000106258.13	1.240	16.939	-3.002	4.59e-89
CYP4B1	ENSG00000142973.12	18.560	154.353	-2.990	9.48e-74
CYP4F12	ENSG00000186204.14	0.640	3.920	-1.585	3.98e-58
CYP4F29P	ENSG00000228314.1	0.410	2.950	-1.486	2.77e-90
CYP4Z1	ENSG00000186160.4	0.170	1.480	-1.084	2.80e-94
CYR61	ENSG00000142871.15	72.972	301.601	-2.032	4.10e-86
CYTH4	ENSG00000100055.20	7.850	23.259	-1.455	9.28e-94
CYTIP	ENSG00000115165.9	9.500	20.090	-1.006	2.70e-56
CYYR1	ENSG00000166265.11	4.120	15.300	-1.671	2.85e-152
D2HGDH	ENSG00000180902.16	12.780	28.249	-1.086	5.26e-38
DAAM2	ENSG00000146122.16	4.910	16.860	-1.595	1.61e-85
DAB2	ENSG00000153071.14	18.050	59.190	-1.660	2.91e-131
DAB2IP	ENSG00000136848.16	11.870	30.099	-1.273	6.38e-111
DACH1	ENSG00000276644.4	0.500	3.410	-1.556	6.29e-154
DACT3	ENSG00000197380.10	2.360	9.620	-1.660	1.08e-125
DAPK1	ENSG00000196730.12	16.440	34.919	-1.042	3.65e-49
DAPK2	ENSG00000035664.11	7.320	37.809	-2.222	2.95e-149
DARS2	ENSG00000117593.9	12.240	5.310	1.069	4.17e-116
DBH-AS1	ENSG00000225756.1	0.650	2.750	-1.184	2.03e-67
DBNDD1	ENSG00000003249.13	18.880	4.150	1.949	8.74e-160
DCAF13	ENSG00000164934.13	32.410	12.890	1.266	1.10e-129
DCHS1	ENSG00000166341.7	2.550	8.950	-1.487	3.95e-122
DCLK2	ENSG00000170390.14	1.170	3.510	-1.055	3.24e-93
DCN	ENSG00000011465.16	223.773	1063.348	-2.243	4.20e-126
DCSTAMP	ENSG00000164935.6	1.170	4.030	-1.213	4.07e-43
DCTPP1	ENSG00000179958.8	41.300	18.050	1.151	6.66e-117
DDIT4L	ENSG00000145358.6	2.390	0.510	1.167	2.51e-59
DDR1	ENSG00000204580.11	107.090	45.550	1.215	6.20e-75
DDR2	ENSG00000162733.16	3.510	14.030	-1.737	5.01e-131
DDX17	ENSG00000100201.18	109.728	305.197	-1.467	5.91e-110
DDX26B	ENSG00000165359.14	3.120	8.030	-1.132	7.99e-76
DDX3Y	ENSG00000067048.16	0.090	33.751	-4.995	7.49e-28
DDX5	ENSG00000108654.11	322.129	668.785	-1.052	7.13e-84
DEFA1	ENSG00000206047.2	0.190	63.210	-5.754	1.01e-201
DEFA1B	ENSG00000240247.6	0.070	65.940	-5.967	5.59e-199
DEFA3	ENSG00000239839.5	0.000	24.970	-4.699	1.06e-150
DEFA4	ENSG00000164821.4	0.000	3.500	-2.170	2.56e-111
DEGS2	ENSG00000168350.7	4.470	1.620	1.062	1.13e-20
DENND2A	ENSG00000146966.12	2.360	13.710	-2.130	2.10e-177
DENND3	ENSG00000105339.10	12.890	112.329	-3.028	3.69e-231
DENND4B	ENSG00000198837.9	19.280	62.839	-1.654	3.37e-95
DEPDC1	ENSG00000024526.16	2.160	0.170	1.433	1.21e-106
DEPDC1B	ENSG00000035499.12	2.840	0.320	1.541	4.77e-121
DEPTOR	ENSG00000155792.9	11.180	3.270	1.512	2.97e-85
DERL3	ENSG00000099958.14	36.750	8.730	1.956	1.27e-82
DES	ENSG00000175084.11	3.500	142.952	-4.999	6.43e-244
DGCR5	ENSG00000237517.8	1.680	0.160	1.208	1.08e-89
DGKA	ENSG00000065357.19	19.970	45.790	-1.158	1.77e-44
DGKD	ENSG00000077044.9	13.370	38.030	-1.442	3.17e-69
DGKE	ENSG00000153933.9	1.310	4.300	-1.198	1.44e-121
DGKG	ENSG00000058866.14	1.350	5.020	-1.357	5.45e-81
DGKH	ENSG00000102780.16	1.320	5.300	-1.441	2.42e-145
DHFR	ENSG00000228716.6	11.180	5.080	1.002	2.26e-100
DHFRP1	ENSG00000188985.6	5.930	1.410	1.524	1.83e-91
DICER1	ENSG00000100697.14	8.040	17.170	-1.007	2.83e-86
DIO2	ENSG00000211448.11	1.850	0.370	1.057	7.72e-54
DIO3	ENSG00000197406.7	0.180	1.920	-1.307	3.44e-101
DIO3OS	ENSG00000258498.6	0.750	29.619	-4.129	5.07e-192
DIP2A	ENSG00000160305.17	10.150	25.200	-1.233	8.40e-85
DISP1	ENSG00000154309.8	3.170	9.220	-1.293	6.61e-109
DKK2	ENSG00000155011.8	0.980	3.280	-1.112	8.83e-80
DKK3	ENSG00000050165.17	36.699	173.500	-2.211	2.20e-136
DLC1	ENSG00000164741.14	11.000	55.981	-2.247	1.37e-128
DLEC1	ENSG00000008226.19	0.650	3.020	-1.285	5.38e-59
DLG3	ENSG00000082458.11	19.821	8.850	1.080	9.52e-117
DLG4	ENSG00000132535.18	5.320	20.540	-1.769	3.05e-135
DLGAP5	ENSG00000126787.12	5.150	0.410	2.125	3.56e-131
DLL1	ENSG00000198719.8	1.840	10.210	-1.981	4.06e-124
DLL4	ENSG00000128917.6	8.060	17.600	-1.038	3.08e-54
DMPK	ENSG00000104936.17	13.780	63.522	-2.126	1.01e-123
DMTF1	ENSG00000135164.18	20.589	76.691	-1.847	2.55e-125
DMXL2	ENSG00000104093.13	12.490	36.450	-1.473	3.43e-97
DNAAF1	ENSG00000154099.17	1.520	5.680	-1.406	7.49e-44
DNAH1	ENSG00000114841.17	1.810	9.660	-1.924	4.91e-140
DNAH12	ENSG00000174844.14	0.330	1.680	-1.011	5.48e-37
DNAH14	ENSG00000185842.14	8.550	2.970	1.266	1.11e-114
DNAH17	ENSG00000187775.16	1.060	4.830	-1.501	1.51e-101
DNAH2	ENSG00000183914.14	2.770	0.640	1.201	4.04e-26
DNAI1	ENSG00000122735.15	0.430	1.870	-1.005	1.03e-28
DNAI2	ENSG00000171595.13	0.190	1.450	-1.042	5.55e-30
DNAJB13	ENSG00000187726.8	3.980	1.110	1.239	2.26e-18
DNAJB4	ENSG00000162616.8	7.340	17.460	-1.146	6.18e-73
DNAJC12	ENSG00000108176.14	11.560	1.500	2.329	3.26e-85
DNAJC18	ENSG00000170464.9	4.060	10.390	-1.171	3.08e-89
DNAJC19P5	ENSG00000225808.1	0.510	2.600	-1.253	4.13e-95
DNAJC19P9	ENSG00000258608.1	2.590	0.450	1.308	2.17e-69
DNAJC22	ENSG00000178401.14	1.790	0.190	1.229	2.44e-83
DNASE1L3	ENSG00000163687.13	1.370	8.210	-1.958	8.92e-91
DNHD1	ENSG00000179532.12	2.500	13.210	-2.022	1.08e-114
DNM2	ENSG00000079805.16	63.831	145.250	-1.174	3.57e-98
DNM3	ENSG00000197959.13	1.640	4.290	-1.003	1.20e-59
DOCK11	ENSG00000147251.15	7.110	21.360	-1.463	5.02e-138
DOCK2	ENSG00000134516.15	8.240	22.751	-1.362	5.78e-108
DOCK4	ENSG00000128512.19	5.390	29.761	-2.267	1.49e-218
DOCK6	ENSG00000130158.13	19.401	77.288	-1.940	4.44e-136
DOCK9	ENSG00000088387.17	34.429	97.869	-1.481	7.43e-87
DOK2	ENSG00000147443.12	9.490	28.919	-1.512	3.88e-95
DOK3	ENSG00000146094.13	9.390	29.611	-1.559	2.23e-105
DOK6	ENSG00000206052.10	0.470	1.950	-1.005	1.68e-72
DOPEY1	ENSG00000083097.14	3.610	9.240	-1.151	3.48e-105
DOT1L	ENSG00000104885.17	5.700	17.440	-1.461	8.22e-131
DPCR1	ENSG00000168631.11	0.560	3.120	-1.401	4.45e-17
DPEP2	ENSG00000167261.13	3.370	16.970	-2.040	1.70e-146
DPH1	ENSG00000108963.17	16.170	40.251	-1.265	3.04e-101
DPP4	ENSG00000197635.9	25.820	8.680	1.470	2.48e-33
DPT	ENSG00000143196.4	11.910	37.940	-1.593	6.20e-63
DPY19L2	ENSG00000177990.11	0.470	2.440	-1.227	1.36e-78
DPY30	ENSG00000162961.13	99.760	45.870	1.104	3.32e-138
DPYSL2	ENSG00000092964.16	35.569	87.438	-1.274	1.16e-93
DSC2	ENSG00000134755.14	9.210	3.410	1.211	1.17e-64
DSE	ENSG00000111817.16	7.060	17.600	-1.206	1.10e-76
DSG2	ENSG00000046604.12	32.669	5.170	2.448	3.90e-149
DSP	ENSG00000096696.13	38.030	5.070	2.685	5.26e-117
DST	ENSG00000151914.17	30.070	198.500	-2.683	3.50e-172
DTL	ENSG00000143476.17	4.900	1.010	1.554	4.88e-84
DTNA	ENSG00000134769.21	4.160	12.480	-1.385	2.59e-65
DTYMK	ENSG00000168393.12	28.809	13.540	1.036	1.01e-98
DUOX1	ENSG00000137857.17	6.420	87.389	-3.574	1.37e-164
DUOX2	ENSG00000140279.12	0.670	2.790	-1.182	8.20e-31
DUOXA1	ENSG00000140254.12	6.770	57.281	-2.907	4.15e-120
DUSP1	ENSG00000120129.5	129.301	657.478	-2.337	1.84e-110
DUSP26	ENSG00000133878.8	0.330	1.930	-1.139	8.98e-97
DUSP7	ENSG00000164086.9	9.970	23.209	-1.142	1.64e-88
DUSP8P5	ENSG00000235316.1	0.680	2.390	-1.013	5.89e-104
DUTP6	ENSG00000225171.2	0.970	3.120	-1.064	3.67e-78
DUXAP8	ENSG00000206195.10	4.630	1.240	1.330	6.63e-49
DYNC2H1	ENSG00000187240.13	3.480	9.020	-1.161	9.45e-81
DYSF	ENSG00000135636.13	8.340	24.170	-1.430	1.17e-96
DZIP1	ENSG00000134874.17	2.640	7.880	-1.287	2.19e-98
DZIP1L	ENSG00000158163.14	1.780	6.270	-1.387	7.11e-90
E2F1	ENSG00000101412.12	8.510	3.470	1.089	1.13e-60
E2F8	ENSG00000129173.12	2.300	0.330	1.311	1.52e-103
EBF1	ENSG00000164330.16	1.050	4.270	-1.362	1.16e-149
EBF4	ENSG00000088881.20	5.680	16.220	-1.366	2.84e-60
EBLN2	ENSG00000255423.1	0.510	2.220	-1.093	1.61e-100
ECE2	ENSG00000145194.17	7.670	2.190	1.442	4.12e-124
ECEL1P2	ENSG00000244280.1	0.420	10.640	-3.035	3.54e-177
ECHDC2	ENSG00000121310.16	53.530	115.639	-1.097	1.62e-57
ECM2	ENSG00000106823.12	3.750	10.300	-1.250	3.33e-68
ECT2	ENSG00000114346.13	14.500	5.020	1.364	2.42e-89
EDA	ENSG00000158813.17	0.880	2.910	-1.056	1.50e-62
EDN1	ENSG00000078401.6	10.220	25.470	-1.238	2.66e-52
EDNRB	ENSG00000136160.14	3.010	42.899	-3.453	1.06e-251
EEF1A1P12	ENSG00000214199.3	1.830	0.310	1.111	8.08e-86
EEF1A1P9	ENSG00000249264.1	2.270	0.300	1.331	2.95e-92
EEF1A2	ENSG00000101210.10	6.970	0.870	2.092	5.83e-57
EFCAB1	ENSG00000034239.10	0.860	2.800	-1.031	7.68e-20
EFCC1	ENSG00000114654.7	1.610	12.740	-2.396	1.42e-181
EFEMP1	ENSG00000115380.18	45.832	166.756	-1.841	1.73e-104
EFEMP2	ENSG00000172638.12	31.111	80.281	-1.340	2.25e-96
EFHC1	ENSG00000096093.14	5.180	11.730	-1.043	4.00e-54
EFHD1	ENSG00000115468.11	4.610	13.580	-1.378	1.09e-20
EFNA3	ENSG00000143590.13	5.900	1.050	1.751	1.87e-165
EFNA4	ENSG00000243364.7	20.831	4.980	1.868	5.19e-198
EFNA5	ENSG00000184349.12	8.060	2.780	1.261	3.00e-72
EFNB1	ENSG00000090776.5	7.970	39.879	-2.188	3.63e-143
EFNB2	ENSG00000125266.6	10.280	22.830	-1.079	1.67e-52
EGFL6	ENSG00000198759.11	6.590	20.460	-1.499	5.42e-85
EGFL7	ENSG00000172889.15	37.841	200.421	-2.375	5.45e-128
EGFL8	ENSG00000241404.6	2.920	17.170	-2.213	9.60e-142
EGLN3	ENSG00000129521.13	21.900	6.840	1.546	2.52e-41
EGR1	ENSG00000120738.7	56.822	122.547	-1.095	2.51e-24
EHBP1L1	ENSG00000173442.11	30.860	89.492	-1.506	6.55e-77
EHD2	ENSG00000024422.11	49.710	116.840	-1.216	7.37e-79
EHF	ENSG00000135373.12	23.650	8.790	1.332	3.13e-57
EIF1AXP1	ENSG00000236698.1	9.260	2.700	1.471	3.20e-73
EIF1AY	ENSG00000198692.9	0.080	20.740	-4.331	3.55e-10
EIF1B	ENSG00000114784.3	37.969	78.259	-1.024	2.67e-117
EIF2AK1	ENSG00000086232.12	79.192	34.811	1.163	2.33e-153
EIF5AP4	ENSG00000234743.1	6.780	0.230	2.661	3.17e-207
ELANE	ENSG00000197561.6	0.130	4.930	-2.392	6.15e-105
ELF3	ENSG00000163435.15	319.350	128.613	1.305	3.23e-31
ELMO1	ENSG00000155849.15	9.760	30.049	-1.529	5.07e-113
ELMSAN1	ENSG00000156030.12	10.560	22.479	-1.022	1.19e-95
ELN	ENSG00000049540.16	29.140	213.945	-2.834	6.34e-109
EMCN	ENSG00000164035.9	4.810	29.889	-2.411	3.16e-180
EME2	ENSG00000197774.12	3.670	11.340	-1.402	5.06e-61
EMID1	ENSG00000186998.15	5.160	12.220	-1.102	1.40e-54
EMILIN1	ENSG00000138080.13	30.819	83.620	-1.411	5.02e-64
EML1	ENSG00000066629.16	3.460	13.360	-1.687	2.40e-130
EML3	ENSG00000149499.11	27.870	76.850	-1.431	1.33e-102
EMP1	ENSG00000134531.9	52.771	144.496	-1.436	3.87e-76
EMP2	ENSG00000213853.9	69.772	225.783	-1.680	4.13e-104
EMP3	ENSG00000142227.10	60.900	155.179	-1.335	1.89e-95
ENC1	ENSG00000171617.13	18.790	6.460	1.408	2.14e-78
ENG	ENSG00000106991.13	56.849	266.445	-2.209	9.36e-180
ENGASE	ENSG00000167280.16	10.530	37.190	-1.728	4.82e-74
ENO1	ENSG00000074800.13	1257.287	521.780	1.267	1.62e-103
ENO3	ENSG00000108515.17	6.020	17.730	-1.416	3.44e-13
ENPEP	ENSG00000138792.9	1.970	5.980	-1.233	2.67e-64
ENPP5	ENSG00000112796.9	10.310	4.510	1.038	2.56e-46
TSPAN6	ENSG00000000003.14	33.910	12.330	1.389	3.23e-121
FGR	ENSG00000000938.12	9.360	101.927	-3.312	2.63e-240
SEMA3F	ENSG00000001617.11	12.330	37.460	-1.529	5.00e-86
TFPI	ENSG00000003436.14	59.871	133.601	-1.145	2.10e-35
RBM5	ENSG00000003756.16	45.930	153.244	-1.717	5.57e-109
RBM6	ENSG00000004534.14	32.210	112.313	-1.771	2.29e-104
HSPB6	ENSG00000004776.11	6.420	108.653	-3.885	1.17e-231
PDK4	ENSG00000004799.7	8.630	98.940	-3.375	8.53e-157
PRSS22	ENSG00000005001.9	24.870	10.970	1.112	2.72e-31
FAM214B	ENSG00000005238.19	10.910	23.330	-1.031	9.94e-82
MSL3	ENSG00000005302.17	16.420	40.571	-1.255	9.49e-113
MPO	ENSG00000005381.7	0.150	2.460	-1.589	1.87e-105
ITGAL	ENSG00000005844.17	9.940	25.840	-1.295	6.36e-71
ITGA2B	ENSG00000005961.17	0.530	4.630	-1.880	2.49e-93
YBX2	ENSG00000006047.12	1.710	0.290	1.071	1.52e-52
TMEM132A	ENSG00000006118.14	22.550	9.630	1.148	2.71e-43
ETV1	ENSG00000006468.13	8.260	19.640	-1.156	5.04e-42
GGCT	ENSG00000006625.17	77.149	27.580	1.451	6.20e-131
TBXA2R	ENSG00000006638.11	1.210	4.260	-1.251	2.85e-130
IFRD1	ENSG00000006652.13	19.821	49.292	-1.272	2.20e-62
SCIN	ENSG00000006747.14	10.330	4.090	1.154	3.99e-31
GAS7	ENSG00000007237.18	4.830	17.859	-1.694	2.83e-134
MATK	ENSG00000007264.13	2.610	8.710	-1.427	4.09e-106
RHBDF1	ENSG00000007384.15	25.080	77.611	-1.592	7.24e-69
LUC7L	ENSG00000007392.16	31.789	79.379	-1.294	5.12e-58
SELE	ENSG00000007908.15	0.450	2.110	-1.101	5.95e-50
FMO3	ENSG00000007933.12	4.850	17.400	-1.653	2.50e-89
SPAG9	ENSG00000008294.20	25.251	58.040	-1.169	5.04e-79
PLEKHG6	ENSG00000008323.15	6.110	1.550	1.479	2.30e-92
PGLYRP1	ENSG00000008438.4	0.030	3.170	-2.017	5.91e-150
NFIX	ENSG00000008441.16	17.490	38.711	-1.103	1.28e-47
MMP25	ENSG00000008516.16	1.240	15.110	-2.846	3.16e-157
PKD1	ENSG00000008710.17	19.040	74.832	-1.920	1.65e-107
RHOBTB2	ENSG00000008853.16	26.241	64.498	-1.266	9.21e-36
REV3L	ENSG00000009413.15	4.570	13.510	-1.381	1.17e-149
MLXIPL	ENSG00000009950.15	0.690	3.860	-1.524	1.66e-64
IFFO1	ENSG00000010295.19	5.170	35.819	-2.577	1.97e-171
SEMA3G	ENSG00000010319.6	2.000	18.590	-2.707	2.61e-208
NISCH	ENSG00000010322.15	23.600	75.488	-1.637	7.77e-128
STAB1	ENSG00000010327.10	26.530	121.229	-2.151	2.02e-111
FYN	ENSG00000010810.17	26.859	96.609	-1.809	1.68e-126
MRC2	ENSG00000011028.13	32.529	67.639	-1.034	6.67e-55
NME2	ENSG00000011052.21	19.510	8.260	1.147	6.41e-50
TSPAN9	ENSG00000011105.11	13.440	34.470	-1.296	5.83e-106
SYT7	ENSG00000011347.9	11.700	1.850	2.156	3.44e-97
SEMA3B	ENSG00000012171.17	10.380	73.302	-2.707	6.72e-133
KDM5D	ENSG00000012817.15	0.050	30.330	-4.899	5.03e-26
MAMLD1	ENSG00000013619.13	1.690	8.430	-1.810	5.03e-98
WAS	ENSG00000015285.10	10.440	26.720	-1.277	6.52e-94
RGPD5	ENSG00000015568.12	2.760	7.030	-1.095	8.83e-78
IGF1	ENSG00000017427.15	2.740	6.780	-1.057	2.79e-43
SLC38A5	ENSG00000017483.14	13.440	35.451	-1.336	4.15e-69
RUFY3	ENSG00000018189.12	16.420	39.360	-1.212	2.53e-93
SLC11A1	ENSG00000018280.16	12.980	292.683	-4.393	8.54e-236
VSIG2	ENSG00000019102.11	11.280	33.960	-1.509	1.67e-39
PHLDB1	ENSG00000019144.16	30.700	90.798	-1.534	2.07e-98
MARCO	ENSG00000019169.10	27.450	133.657	-2.243	2.19e-73
PRDM11	ENSG00000019485.12	2.310	5.900	-1.060	1.29e-100
HGF	ENSG00000019991.15	2.790	12.100	-1.789	2.14e-110
SAMD4A	ENSG00000020577.13	5.610	13.350	-1.118	5.46e-71
OSBPL5	ENSG00000021762.19	10.890	25.539	-1.158	1.96e-59
FHL1	ENSG00000022267.16	10.900	290.822	-4.616	4.74e-265
HSD17B6	ENSG00000025423.11	7.850	21.910	-1.372	2.05e-21
VIM	ENSG00000026025.13	555.636	1295.236	-1.220	3.84e-74
RTEL1-TNFRSF6B	ENSG00000026036.20	2.200	9.540	-1.720	1.06e-84
FAS	ENSG00000026103.19	12.170	28.410	-1.159	9.21e-80
SLAMF7	ENSG00000026751.16	16.370	5.290	1.466	8.78e-54
PRKCH	ENSG00000027075.13	14.210	38.660	-1.383	5.89e-154
IFNGR1	ENSG00000027697.12	62.210	160.629	-1.354	5.18e-115
TNFRSF1B	ENSG00000028137.16	19.900	43.831	-1.101	1.24e-82
HMGB3	ENSG00000029993.14	150.612	15.030	3.242	1.19e-195
PNPLA6	ENSG00000032444.15	30.840	91.151	-1.533	6.74e-151
FUT8	ENSG00000033170.16	26.541	8.810	1.489	1.57e-119
GAB2	ENSG00000033327.12	7.550	20.780	-1.349	6.18e-106
MYOC	ENSG00000034971.14	0.040	3.120	-1.986	3.88e-142
VCL	ENSG00000035403.16	31.789	77.778	-1.265	1.30e-94
TIMP2	ENSG00000035862.12	101.941	228.064	-1.154	7.01e-62
MYOM2	ENSG00000036448.9	1.820	5.900	-1.291	9.57e-86
FLT4	ENSG00000037280.15	3.700	19.401	-2.118	1.39e-168
MRI1	ENSG00000037757.13	9.850	21.510	-1.053	2.90e-62
METTL1	ENSG00000037897.16	34.350	14.270	1.211	7.95e-89
MSR1	ENSG00000038945.14	18.690	51.900	-1.426	1.67e-57
FAM65A	ENSG00000039523.17	19.560	89.622	-2.140	7.53e-180
FAM65C	ENSG00000042062.11	0.740	9.560	-2.602	7.34e-166
TG	ENSG00000042832.11	0.480	2.630	-1.294	1.90e-69
LCP2	ENSG00000043462.11	19.500	50.139	-1.319	3.15e-95
GPM6B	ENSG00000046653.14	1.850	14.970	-2.486	4.23e-188
PREX2	ENSG00000046889.18	0.710	5.080	-1.830	1.31e-183
YTHDC2	ENSG00000047188.15	5.470	11.960	-1.002	5.16e-86
SCML1	ENSG00000047634.14	2.990	13.640	-1.875	2.46e-143
TNFRSF17	ENSG00000048462.10	3.350	0.730	1.330	8.29e-58
EPN3	ENSG00000049283.17	10.360	0.490	2.931	4.68e-197
FOXP3	ENSG00000049768.14	2.680	0.500	1.295	1.48e-120
LAMC3	ENSG00000050555.17	4.190	36.370	-2.848	1.15e-174
FAM160A2	ENSG00000051009.10	18.350	39.240	-1.056	9.80e-69
RAD51	ENSG00000051180.16	4.640	0.910	1.562	9.64e-105
THOC3	ENSG00000051596.9	30.399	13.050	1.160	4.71e-120
PRSS8	ENSG00000052344.15	166.202	71.510	1.205	5.38e-55
FSTL4	ENSG00000053108.16	2.220	0.610	1.000	3.12e-41
