Gene Symbol	Gene ID	Median (Tumor)	Median (Normal)	Log2(Fold Change)	adjp
CD276	ENSG00000103855.17	92.279	37.356	1.282	3.14e-104
CD300C	ENSG00000167850.3	1.405	6.560	-1.652	2.24e-133
CD300E	ENSG00000186407.6	0.910	10.765	-2.623	1.22e-176
CD300LF	ENSG00000186074.18	2.715	15.255	-2.129	2.83e-154
CD300LG	ENSG00000161649.12	0.030	7.935	-3.117	2.93e-233
CD302	ENSG00000241399.6	3.980	34.825	-2.847	4.11e-239
CD33	ENSG00000105383.14	3.015	17.580	-2.210	1.45e-179
CD34	ENSG00000174059.16	10.755	54.611	-2.242	2.14e-168
CD36	ENSG00000135218.17	7.840	69.516	-2.996	1.39e-149
CD37	ENSG00000104894.11	19.325	82.721	-2.042	1.44e-115
CD3EAP	ENSG00000117877.10	7.550	1.930	1.545	2.35e-131
CD4	ENSG00000010610.9	24.015	58.661	-1.254	3.27e-73
CD52	ENSG00000169442.8	61.006	283.528	-2.198	2.00e-104
CD53	ENSG00000143119.12	36.755	121.355	-1.696	2.52e-102
CD55	ENSG00000196352.13	46.790	190.071	-1.999	1.49e-134
CD59	ENSG00000085063.14	243.275	507.846	-1.059	2.69e-58
CD69	ENSG00000110848.8	3.620	22.374	-2.339	5.84e-129
CD79A	ENSG00000105369.9	17.225	4.470	1.736	6.97e-35
CD81	ENSG00000110651.11	436.639	912.859	-1.062	3.75e-96
CD84	ENSG00000066294.14	2.165	5.715	-1.085	2.06e-65
CD9	ENSG00000010278.11	1052.313	320.937	1.710	1.78e-94
CD93	ENSG00000125810.9	7.305	62.799	-2.941	7.47e-228
CDC14A	ENSG00000079335.17	2.150	5.580	-1.063	9.02e-105
CDC20	ENSG00000117399.13	53.430	1.845	4.258	2.68e-316
CDC25A	ENSG00000164045.11	4.145	0.270	2.018	8.27e-229
CDC25C	ENSG00000158402.18	3.525	0.220	1.891	2.14e-222
CDC42EP5	ENSG00000167617.2	9.500	25.575	-1.340	1.74e-55
CDC45	ENSG00000093009.9	20.290	1.010	3.405	2.31e-264
CDC6	ENSG00000094804.9	17.205	0.835	3.310	5.23e-258
CDCA2	ENSG00000184661.13	4.600	0.280	2.129	4.89e-237
CDCA3	ENSG00000111665.11	29.414	2.665	3.053	1.49e-242
CDCA4	ENSG00000170779.10	24.935	3.840	2.422	3.31e-265
CDCA5	ENSG00000146670.9	23.670	1.355	3.389	1.47e-285
CDCA7	ENSG00000144354.13	14.845	0.975	3.004	5.99e-236
CDCA8	ENSG00000134690.10	16.959	1.140	3.069	4.17e-290
CDCP1	ENSG00000163814.7	19.260	4.550	1.868	2.23e-145
CDH1	ENSG00000039068.18	103.554	25.235	1.995	6.49e-137
CDH11	ENSG00000140937.13	19.380	43.235	-1.118	5.78e-35
CDH12P1	ENSG00000254335.1	0.700	3.385	-1.367	7.80e-57
CDH12P3	ENSG00000253492.1	0.700	3.370	-1.362	6.81e-56
CDH13	ENSG00000140945.15	8.320	25.719	-1.519	1.61e-45
CDH23	ENSG00000107736.19	0.990	8.625	-2.274	1.69e-151
CDH3	ENSG00000062038.13	98.519	3.635	4.424	6.68e-229
CDH5	ENSG00000179776.17	6.285	90.474	-3.650	8.26e-302
CDH6	ENSG00000113361.12	0.810	4.805	-1.681	1.26e-66
CDH8	ENSG00000150394.13	1.825	0.160	1.284	6.47e-98
CDHR1	ENSG00000148600.14	2.715	0.455	1.352	1.18e-62
CDHR3	ENSG00000128536.15	1.755	6.910	-1.522	1.50e-65
CDHR4	ENSG00000187492.8	0.130	2.105	-1.458	6.26e-59
CDK1	ENSG00000170312.15	43.380	3.330	3.358	1.34e-276
CDK10	ENSG00000185324.21	35.025	85.906	-1.270	4.74e-67
CDK11A	ENSG00000008128.22	18.125	80.350	-2.089	5.73e-103
CDK3	ENSG00000250506.6	5.565	12.400	-1.029	3.30e-39
CDK4	ENSG00000135446.16	184.068	62.961	1.533	9.81e-143
CDK5R1	ENSG00000176749.8	3.495	0.830	1.296	6.78e-125
CDK5RAP3	ENSG00000108465.14	76.380	161.170	-1.067	4.06e-50
CDKL1	ENSG00000100490.9	2.035	7.405	-1.470	2.68e-132
CDKL2	ENSG00000138769.10	0.510	2.085	-1.031	7.94e-59
CDKL5	ENSG00000008086.10	1.445	4.895	-1.270	6.47e-145
CDKN1C	ENSG00000129757.12	7.765	30.909	-1.864	1.40e-105
CDKN2A	ENSG00000147889.16	49.104	2.120	4.005	2.70e-70
CDKN3	ENSG00000100526.19	29.990	1.790	3.473	1.50e-274
CDO1	ENSG00000129596.4	0.505	9.885	-2.855	1.93e-235
CDRT4	ENSG00000239704.10	1.165	8.255	-2.096	2.62e-88
CDT1	ENSG00000167513.8	15.275	1.160	2.914	2.29e-239
CEACAM19	ENSG00000186567.12	4.110	10.075	-1.116	7.57e-42
CEACAM21	ENSG00000007129.17	1.335	6.805	-1.741	4.06e-137
CEACAM3	ENSG00000170956.16	0.380	2.905	-1.501	7.91e-118
CEACAM4	ENSG00000105352.10	0.510	4.555	-1.879	2.68e-135
CEACAM5	ENSG00000105388.14	11.740	2.880	1.715	1.36e-26
CEACAM6	ENSG00000086548.8	28.575	172.170	-2.550	1.69e-56
CEBPB	ENSG00000172216.5	35.481	135.016	-1.899	5.56e-130
CEBPD	ENSG00000221869.4	33.109	136.290	-2.009	8.18e-133
CELF2	ENSG00000048740.17	3.850	28.590	-2.609	2.58e-218
CELF2-AS1	ENSG00000181800.5	0.050	1.110	-1.007	1.01e-130
CELF6	ENSG00000140488.14	0.450	5.060	-2.063	8.36e-170
CELSR2	ENSG00000143126.7	13.380	2.610	1.994	5.62e-138
CEMP1	ENSG00000205923.3	1.950	5.875	-1.221	3.93e-61
CENPA	ENSG00000115163.14	16.760	0.625	3.450	0.00e+0
CENPE	ENSG00000138778.11	2.960	0.350	1.553	1.74e-177
CENPF	ENSG00000117724.12	34.735	1.340	3.933	1.66e-275
CENPH	ENSG00000153044.9	16.555	2.550	2.306	5.03e-240
CENPI	ENSG00000102384.13	4.675	0.490	1.929	9.35e-221
CENPK	ENSG00000123219.12	8.490	1.790	1.766	3.57e-160
CENPL	ENSG00000120334.15	7.970	1.920	1.619	1.74e-202
CENPM	ENSG00000100162.14	26.139	2.790	2.840	1.02e-196
CENPN	ENSG00000166451.13	28.680	4.020	2.564	4.42e-224
CENPO	ENSG00000138092.10	11.175	3.820	1.337	6.22e-142
CENPP	ENSG00000188312.13	6.045	1.760	1.352	2.94e-136
CENPQ	ENSG00000031691.6	7.250	2.580	1.204	2.89e-132
CENPT	ENSG00000102901.12	18.710	59.455	-1.617	8.14e-95
CENPU	ENSG00000151725.11	19.005	2.510	2.511	2.81e-208
CENPW	ENSG00000203760.8	46.216	4.665	3.059	3.03e-267
CEP112	ENSG00000154240.16	3.135	10.820	-1.515	1.73e-119
CEP126	ENSG00000110318.13	0.950	3.820	-1.306	1.26e-117
CEP55	ENSG00000138180.15	18.560	0.715	3.512	7.69e-306
CEP95	ENSG00000258890.6	16.870	38.519	-1.145	1.59e-59
CERS3	ENSG00000154227.13	11.755	0.090	3.549	1.58e-152
CERS6	ENSG00000172292.14	15.825	5.575	1.356	2.78e-101
CES1	ENSG00000198848.12	49.179	223.432	-2.161	1.51e-13
CES4A	ENSG00000172824.14	3.230	12.570	-1.682	5.45e-103
CFAP126	ENSG00000188931.3	0.250	1.655	-1.087	1.68e-26
CFAP221	ENSG00000163075.12	0.810	8.195	-2.345	2.37e-135
CFAP43	ENSG00000197748.12	0.380	2.240	-1.231	2.34e-57
CFAP44	ENSG00000206530.8	2.190	7.585	-1.428	2.99e-78
CFAP45	ENSG00000213085.9	0.985	5.155	-1.633	2.83e-76
CFAP69	ENSG00000105792.19	1.330	5.095	-1.387	8.95e-115
CFAP70	ENSG00000156042.17	0.545	4.315	-1.782	5.62e-115
CFD	ENSG00000197766.7	11.235	262.977	-4.431	2.02e-259
CFH	ENSG00000000971.15	24.825	70.460	-1.468	1.12e-71
CFI	ENSG00000205403.12	12.165	31.154	-1.288	2.01e-52
CFL2	ENSG00000165410.14	11.990	33.975	-1.429	1.17e-129
CFLAR	ENSG00000003402.19	42.731	160.718	-1.887	5.70e-180
CFLAR-AS1	ENSG00000226312.7	0.490	5.115	-2.037	1.45e-186
CFP	ENSG00000126759.12	1.870	16.685	-2.623	1.76e-219
CFTR	ENSG00000001626.14	0.805	4.055	-1.486	5.27e-66
CGN	ENSG00000143375.14	8.110	35.725	-2.011	6.10e-118
CGNL1	ENSG00000128849.10	2.090	13.300	-2.210	3.41e-168
CGREF1	ENSG00000138028.14	5.645	0.820	1.868	5.66e-81
CH17-212P11.4	ENSG00000282600.1	1.790	0.000	1.480	1.84e-56
CH17-224D4.1	ENSG00000282639.1	3.004	0.370	1.547	8.72e-26
CH17-224D4.2	ENSG00000282651.1	6.797	1.085	1.903	1.38e-22
CH17-258A22.4	ENSG00000274615.1	1.560	6.145	-1.481	1.19e-70
CH17-472G23.2	ENSG00000223804.5	7.875	17.590	-1.067	4.17e-68
CH17-472G23.4	ENSG00000275131.1	0.520	5.865	-2.175	6.21e-210
CH25H	ENSG00000138135.6	3.720	9.969	-1.217	4.72e-32
CH507-42P11.8	ENSG00000275993.2	15.325	32.920	-1.055	9.53e-27
CH507-513H4.5	ENSG00000281383.1	4.610	0.385	2.018	1.67e-84
CHAC2	ENSG00000143942.4	6.775	1.470	1.654	1.91e-139
CHAF1A	ENSG00000167670.15	14.879	4.840	1.443	2.30e-112
CHAF1B	ENSG00000159259.7	5.425	1.100	1.613	8.31e-188
CHD1	ENSG00000153922.10	11.315	28.270	-1.249	1.43e-126
CHD2	ENSG00000173575.18	22.695	51.110	-1.137	8.22e-109
CHDH	ENSG00000016391.10	0.570	2.240	-1.045	2.01e-98
CHEK1	ENSG00000149554.12	14.405	1.460	2.647	8.95e-271
CHEK2	ENSG00000183765.20	20.710	6.125	1.607	1.67e-151
CHFR	ENSG00000072609.17	13.225	28.660	-1.060	1.30e-77
CHI3L2	ENSG00000064886.13	3.750	37.994	-3.037	9.00e-123
CHIA	ENSG00000134216.18	0.140	2.430	-1.589	1.09e-56
CHIAP2	ENSG00000203878.11	0.000	2.355	-1.746	4.09e-87
CHKA	ENSG00000110721.11	9.770	35.380	-1.756	1.48e-130
CHKB	ENSG00000100288.19	34.685	97.396	-1.463	4.83e-87
CHMP4BP1	ENSG00000258469.1	0.915	2.980	-1.055	2.86e-64
CHMP4C	ENSG00000164695.4	14.075	4.715	1.399	5.38e-106
CHN1	ENSG00000128656.13	9.735	20.569	-1.007	1.14e-56
CHN2	ENSG00000106069.20	2.050	6.210	-1.241	1.56e-88
CHODL	ENSG00000154645.13	2.445	0.160	1.570	2.13e-97
CHPT1	ENSG00000111666.10	20.669	48.416	-1.189	5.12e-92
CHRD	ENSG00000090539.15	1.570	11.415	-2.272	1.20e-129
CHRDL1	ENSG00000101938.14	1.470	66.830	-4.779	3.31e-301
CHRM1	ENSG00000168539.3	0.035	1.380	-1.201	4.59e-124
CHRM3	ENSG00000133019.11	3.695	0.860	1.336	9.78e-74
CHRNA5	ENSG00000169684.13	5.310	0.430	2.142	1.64e-171
CHRNB4	ENSG00000117971.11	1.045	0.000	1.032	2.83e-111
CIART	ENSG00000159208.15	11.100	4.905	1.035	1.99e-27
CIB2	ENSG00000136425.12	9.245	3.170	1.297	5.16e-75
CICP14	ENSG00000281490.1	3.075	7.945	-1.134	9.57e-71
CIITA	ENSG00000179583.17	3.765	18.160	-2.008	6.84e-114
CILP2	ENSG00000160161.9	1.725	0.240	1.136	3.60e-70
CIRBP	ENSG00000099622.13	158.314	385.302	-1.278	4.05e-107
CISD2	ENSG00000145354.9	26.369	11.815	1.095	8.70e-119
CISH	ENSG00000114737.15	8.210	32.619	-1.868	1.13e-148
CITED2	ENSG00000164442.9	27.365	133.227	-2.242	7.47e-154
CKAP2	ENSG00000136108.14	17.200	3.720	1.947	3.77e-214
CKAP2L	ENSG00000169607.12	6.440	0.360	2.452	1.92e-260
CKAP4	ENSG00000136026.13	86.046	31.205	1.434	1.52e-103
CKAP5	ENSG00000175216.14	39.356	19.010	1.012	3.89e-85
CKB	ENSG00000166165.12	88.296	194.031	-1.127	2.92e-31
CKM	ENSG00000104879.4	0.110	2.700	-1.737	2.77e-94
CKMT1A	ENSG00000223572.9	23.779	0.830	3.759	1.10e-180
CKMT1B	ENSG00000237289.9	26.124	0.845	3.878	2.89e-194
CKMT2	ENSG00000131730.15	0.395	2.100	-1.152	3.99e-137
CKS1B	ENSG00000173207.12	175.392	31.010	2.462	1.32e-253
CKS1BP3	ENSG00000268942.2	7.445	0.000	3.078	1.35e-110
CKS2	ENSG00000123975.4	104.025	23.145	2.121	4.83e-164
CLASP2	ENSG00000163539.15	7.200	17.150	-1.146	9.69e-148
CLASRP	ENSG00000104859.14	31.135	94.716	-1.575	5.39e-77
CLCA2	ENSG00000137975.7	69.490	0.120	5.976	6.83e-171
CLCN2	ENSG00000114859.14	7.065	3.010	1.008	4.49e-63
CLCN6	ENSG00000011021.21	3.760	16.835	-1.906	3.61e-199
CLCN7	ENSG00000103249.17	33.966	69.005	-1.002	1.77e-73
CLDN1	ENSG00000163347.5	132.724	5.540	4.354	9.79e-162
CLDN10	ENSG00000134873.9	5.850	1.645	1.373	5.84e-33
CLDN11	ENSG00000013297.10	1.685	7.595	-1.679	1.18e-47
CLDN15	ENSG00000106404.13	4.035	12.360	-1.408	3.70e-91
CLDN16	ENSG00000113946.3	1.305	0.120	1.041	6.34e-56
CLDN18	ENSG00000066405.12	0.485	93.344	-5.989	4.72e-233
CLDN23	ENSG00000253958.1	2.270	5.720	-1.039	1.68e-48
CLDN3	ENSG00000165215.6	4.360	10.355	-1.083	7.61e-8
CLDN5	ENSG00000184113.9	10.480	330.166	-4.850	9.31e-282
CLDND2	ENSG00000160318.6	0.740	2.790	-1.123	6.68e-92
CLEC10A	ENSG00000132514.13	2.570	6.465	-1.064	1.23e-42
CLEC12A	ENSG00000172322.13	1.775	14.190	-2.453	9.84e-162
CLEC12B	ENSG00000256660.5	0.065	1.525	-1.245	1.09e-136
CLEC14A	ENSG00000176435.6	6.375	60.515	-3.060	1.11e-243
CLEC1A	ENSG00000150048.10	1.300	16.315	-2.912	1.92e-200
CLEC1B	ENSG00000165682.14	0.060	1.365	-1.158	4.97e-141
CLEC2B	ENSG00000110852.4	10.140	33.210	-1.619	3.69e-76
CLEC2D	ENSG00000069493.14	5.155	13.055	-1.191	1.26e-73
CLEC3B	ENSG00000163815.5	5.735	186.637	-4.800	8.67e-289
CLEC4A	ENSG00000111729.12	3.985	9.960	-1.137	7.06e-68
CLEC4D	ENSG00000166527.7	0.195	1.715	-1.184	2.34e-115
CLEC4E	ENSG00000166523.7	2.550	19.440	-2.525	3.63e-129
CLEC4M	ENSG00000104938.16	0.040	2.055	-1.555	5.12e-117
CLEC7A	ENSG00000172243.17	11.520	39.134	-1.681	2.62e-78
CLIC2	ENSG00000155962.12	5.810	24.445	-1.902	6.55e-135
CLIC3	ENSG00000169583.12	6.810	49.586	-2.695	7.21e-128
CLIC4	ENSG00000169504.14	52.809	110.105	-1.046	2.30e-75
CLIC5	ENSG00000112782.15	1.085	39.355	-4.275	4.01e-291
CLK1	ENSG00000013441.15	39.450	197.402	-2.294	1.05e-141
CLK4	ENSG00000113240.12	5.355	21.665	-1.834	3.92e-161
CLMN	ENSG00000165959.11	3.565	9.615	-1.217	3.89e-93
CLMP	ENSG00000166250.11	3.060	7.665	-1.094	4.40e-48
CLNS1A	ENSG00000074201.8	119.349	50.334	1.229	1.72e-147
CLSPN	ENSG00000092853.13	3.955	0.490	1.734	8.93e-156
CLSTN1	ENSG00000171603.16	127.300	49.290	1.351	3.58e-102
CLU	ENSG00000120885.19	257.789	834.055	-1.690	8.75e-70
CMAHP	ENSG00000168405.14	8.475	58.885	-2.660	2.37e-175
CMB9-22P13.1	ENSG00000173727.11	4.065	1.155	1.233	5.30e-92
CMKLR1	ENSG00000174600.13	2.845	10.355	-1.562	4.72e-93
CMSS1	ENSG00000184220.10	39.454	15.465	1.297	9.29e-114
CMTM2	ENSG00000140932.9	0.400	6.470	-2.416	1.23e-157
CMTM5	ENSG00000166091.19	0.085	1.640	-1.283	4.81e-148
CMTM8	ENSG00000170293.8	8.540	18.990	-1.067	2.54e-76
CNFN	ENSG00000105427.9	17.255	0.960	3.219	8.98e-160
CNIH1	ENSG00000100528.11	113.197	51.996	1.108	3.26e-86
CNN1	ENSG00000130176.7	7.285	60.227	-2.886	2.04e-157
CNN3	ENSG00000117519.15	81.545	199.230	-1.278	5.83e-78
CNOT8	ENSG00000155508.13	26.600	54.850	-1.017	1.93e-114
CNR1	ENSG00000118432.12	0.380	3.170	-1.595	1.96e-62
CNRIP1	ENSG00000119865.8	3.480	22.875	-2.414	7.45e-245
CNTFR	ENSG00000122756.14	0.280	2.620	-1.500	7.09e-71
CNTN1	ENSG00000018236.14	5.080	1.475	1.297	4.19e-38
CNTN4	ENSG00000144619.14	0.400	2.560	-1.346	1.85e-127
CNTN6	ENSG00000134115.12	0.050	2.430	-1.708	2.18e-215
CNTNAP1	ENSG00000108797.11	2.025	9.255	-1.761	2.97e-131
CNTNAP2	ENSG00000174469.17	3.980	0.090	2.192	2.09e-90
CNTNAP3B	ENSG00000154529.14	1.565	4.550	-1.114	3.37e-46
CNTROB	ENSG00000170037.13	21.630	55.063	-1.309	8.49e-112
COA6	ENSG00000168275.14	61.547	17.325	1.771	1.84e-147
COA7	ENSG00000162377.5	9.730	3.870	1.140	1.27e-120
COBL	ENSG00000106078.17	1.245	9.585	-2.237	8.95e-152
COCH	ENSG00000100473.15	5.650	0.680	1.985	1.06e-78
COL10A1	ENSG00000123500.9	18.820	0.360	3.865	1.41e-148
COL11A1	ENSG00000060718.18	10.435	0.225	3.223	1.20e-134
COL13A1	ENSG00000197467.13	1.585	11.560	-2.281	2.15e-174
COL14A1	ENSG00000187955.11	4.860	18.170	-1.710	2.22e-59
COL17A1	ENSG00000065618.16	64.010	0.580	5.363	7.69e-173
COL1A1	ENSG00000108821.13	408.756	109.061	1.896	5.51e-42
COL21A1	ENSG00000124749.16	1.295	8.345	-2.026	2.07e-80
COL3A1	ENSG00000168542.12	424.684	127.769	1.725	2.75e-34
COL4A2	ENSG00000134871.17	72.871	178.669	-1.282	4.73e-61
COL4A2-AS1	ENSG00000232814.2	0.000	1.100	-1.070	1.02e-139
COL4A3	ENSG00000169031.18	0.500	15.615	-3.469	4.52e-276
COL4A4	ENSG00000081052.11	0.475	4.540	-1.909	9.95e-154
COL4A6	ENSG00000197565.15	5.705	1.055	1.706	1.30e-54
COL5A3	ENSG00000080573.6	4.170	12.845	-1.421	7.85e-41
COL6A1	ENSG00000142156.14	92.584	273.149	-1.551	1.25e-49
COL6A2	ENSG00000142173.14	128.711	404.710	-1.645	1.03e-58
COL6A5	ENSG00000172752.14	0.390	5.270	-2.173	4.80e-149
COL6A6	ENSG00000206384.10	0.475	10.925	-3.015	9.67e-223
COL7A1	ENSG00000114270.15	61.364	6.135	3.128	2.60e-127
COL8A1	ENSG00000144810.15	13.425	31.806	-1.185	3.84e-44
COLEC12	ENSG00000158270.11	2.940	21.960	-2.543	4.95e-170
COLQ	ENSG00000206561.12	0.590	2.435	-1.111	5.48e-106
COMMD2	ENSG00000114744.8	33.020	15.210	1.069	2.09e-99
COQ3	ENSG00000132423.10	12.765	4.245	1.392	3.18e-156
CORO1A	ENSG00000102879.15	32.420	66.070	-1.005	9.69e-45
CORO2A	ENSG00000106789.12	13.340	5.615	1.116	5.36e-84
CORO2B	ENSG00000103647.12	0.570	5.000	-1.934	7.24e-183
CORO6	ENSG00000167549.18	2.045	19.845	-2.775	1.16e-110
CORO7	ENSG00000262246.5	12.820	45.909	-1.763	6.10e-154
COX4I2	ENSG00000131055.4	4.805	50.929	-3.161	3.61e-229
COX6B1	ENSG00000126267.8	394.176	184.572	1.091	1.03e-121
COX7A1	ENSG00000161281.10	17.324	77.331	-2.096	1.78e-136
COX7B	ENSG00000131174.4	156.964	76.510	1.027	1.23e-106
COX7CP1	ENSG00000235957.1	0.000	4.325	-2.413	1.04e-110
CP	ENSG00000047457.13	27.789	8.570	1.589	4.29e-34
CPA3	ENSG00000163751.3	9.275	38.485	-1.942	2.55e-82
CPAMD8	ENSG00000160111.12	2.010	26.365	-3.185	8.44e-222
CPB2	ENSG00000080618.13	0.080	4.245	-2.280	1.12e-84
CPEB4	ENSG00000113742.12	4.935	14.550	-1.390	3.80e-146
CPED1	ENSG00000106034.17	1.315	9.135	-2.130	8.83e-172
CPLX1	ENSG00000168993.14	0.950	6.225	-1.890	2.49e-105
CPM	ENSG00000135678.11	7.045	37.009	-2.240	3.64e-105
CPQ	ENSG00000104324.15	14.290	32.300	-1.123	6.85e-81
CPSF3	ENSG00000119203.13	32.009	14.030	1.135	1.46e-149
CPXM1	ENSG00000088882.7	7.825	2.285	1.426	4.10e-32
CR1	ENSG00000203710.10	0.515	2.885	-1.359	4.47e-105
CRABP2	ENSG00000143320.8	74.325	4.030	3.905	1.31e-159
CRACR2B	ENSG00000177685.16	4.870	27.845	-2.297	8.75e-114
CRBN	ENSG00000113851.13	12.345	26.205	-1.028	7.15e-115
CREB3L1	ENSG00000157613.10	8.480	20.070	-1.152	1.16e-27
CREBRF	ENSG00000164463.12	2.970	10.930	-1.587	1.17e-205
CREBZF	ENSG00000137504.13	17.895	45.370	-1.295	4.57e-67
CREG2	ENSG00000175874.9	1.335	0.090	1.099	6.93e-83
CRELD1	ENSG00000163703.17	15.045	36.466	-1.223	1.26e-105
CRIM1	ENSG00000150938.9	15.890	46.885	-1.503	3.03e-110
CRIP1	ENSG00000213145.9	104.256	279.498	-1.414	9.44e-42
CRIP2	ENSG00000182809.10	45.191	275.345	-2.581	1.99e-129
CRIPAK	ENSG00000179979.8	1.860	11.190	-2.092	4.38e-166
CRIPT	ENSG00000119878.5	14.810	5.915	1.193	2.01e-150
CRISPLD1	ENSG00000121005.8	4.810	1.360	1.300	6.89e-65
CRISPLD2	ENSG00000103196.11	11.050	73.076	-2.620	8.40e-143
CRLF1	ENSG00000006016.10	7.380	19.049	-1.259	2.41e-17
CRMP1	ENSG00000072832.14	4.060	9.315	-1.028	1.67e-14
CROCC	ENSG00000058453.16	10.960	23.631	-1.042	1.18e-37
CROCCP3	ENSG00000080947.14	0.850	3.810	-1.379	5.15e-99
CRTAC1	ENSG00000095713.13	2.975	25.725	-2.749	1.98e-40
CRY2	ENSG00000121671.11	8.585	29.695	-1.679	1.37e-191
CRYAB	ENSG00000109846.7	45.474	152.979	-1.728	6.70e-50
CRYGS	ENSG00000213139.7	1.585	4.735	-1.150	1.16e-47
CRYM	ENSG00000103316.10	0.760	2.725	-1.082	7.21e-23
CSAD	ENSG00000139631.18	11.940	51.310	-2.015	3.13e-82
CSAG3	ENSG00000268916.5	1.175	0.000	1.121	5.96e-57
CSDC2	ENSG00000172346.14	0.750	9.910	-2.640	6.65e-212
CSE1L	ENSG00000124207.16	60.081	20.564	1.502	1.11e-182
CSF1	ENSG00000184371.13	11.100	38.375	-1.702	7.39e-117
CSF2RA	ENSG00000198223.14	4.430	16.290	-1.671	3.64e-120
CSF2RB	ENSG00000100368.13	3.460	10.845	-1.409	2.84e-63
CSF3	ENSG00000108342.12	0.855	12.740	-2.889	1.39e-91
CSF3R	ENSG00000119535.17	7.555	185.354	-4.445	7.11e-244
CSGALNACT1	ENSG00000147408.14	3.845	10.965	-1.304	9.91e-88
CSGALNACT2	ENSG00000169826.7	9.070	25.475	-1.395	3.00e-126
CSNK2A1	ENSG00000101266.16	59.280	24.931	1.217	4.19e-124
CSNK2B-LY6G5B-1181	ENSG00000263020.5	1.675	8.460	-1.822	5.82e-113
CSPG4	ENSG00000173546.7	2.960	17.125	-2.194	2.56e-72
CSPG4P12	ENSG00000259295.6	0.625	2.465	-1.092	1.31e-104
CSRNP1	ENSG00000144655.14	8.165	76.784	-3.085	5.36e-235
CSRP1	ENSG00000159176.13	119.299	357.586	-1.576	1.72e-135
CST1	ENSG00000170373.8	16.225	0.000	4.106	2.65e-131
CST3	ENSG00000101439.8	278.001	648.313	-1.219	7.11e-96
CST6	ENSG00000175315.2	2.955	19.525	-2.376	4.68e-64
CST7	ENSG00000077984.5	8.160	37.556	-2.074	6.48e-129
CSTA	ENSG00000121552.3	240.142	27.125	3.100	1.83e-108
CSTF2	ENSG00000101811.13	16.520	6.255	1.272	2.74e-152
CTA-212A2.1	ENSG00000279805.1	0.220	2.085	-1.338	2.10e-190
CTA-228A9.3	ENSG00000272720.1	0.715	2.655	-1.092	5.05e-49
CTA-276O3.4	ENSG00000235354.1	0.000	1.785	-1.478	7.43e-36
CTA-293F17.1	ENSG00000271133.5	3.325	0.810	1.257	1.44e-102
CTA-363E6.2	ENSG00000259925.1	0.075	1.255	-1.069	7.55e-80
CTA-384D8.35	ENSG00000272666.1	5.980	1.620	1.414	1.39e-79
CTA-963H5.5	ENSG00000250318.1	1.900	5.685	-1.205	3.63e-105
CTA-989H11.1	ENSG00000273366.1	1.690	0.260	1.094	1.95e-126
CTB-113P19.4	ENSG00000260581.1	1.605	0.100	1.244	1.08e-79
CTB-134H23.3	ENSG00000260908.1	0.165	2.565	-1.614	2.03e-87
CTB-13F3.1	ENSG00000273055.1	0.880	6.660	-2.027	2.45e-147
CTB-167G5.7	ENSG00000274892.1	0.000	1.125	-1.087	1.06e-118
CTB-193M12.5	ENSG00000280206.1	15.090	4.250	1.616	4.04e-130
CTB-31N19.3	ENSG00000261596.2	0.450	2.530	-1.284	2.22e-131
CTB-31O20.4	ENSG00000267244.5	0.620	3.700	-1.537	9.75e-141
CTB-39G8.3	ENSG00000267344.1	1.025	5.040	-1.577	3.36e-100
CTB-50E14.5	ENSG00000269374.1	2.255	5.970	-1.099	5.70e-99
CTB-50L17.14	ENSG00000267385.1	0.060	1.550	-1.266	1.77e-145
CTB-51J22.1	ENSG00000232415.1	0.310	4.365	-2.034	8.55e-127
CTB-55O6.12	ENSG00000267169.1	1.380	4.180	-1.122	9.72e-150
CTB-55O6.8	ENSG00000141854.7	2.100	6.225	-1.221	4.10e-91
CTB-61M7.2	ENSG00000268734.1	0.340	5.565	-2.293	1.82e-166
CTB-63M22.1	ENSG00000229119.3	147.543	30.260	2.248	1.42e-73
CTB-79E8.3	ENSG00000253683.1	0.000	8.370	-3.228	2.66e-135
CTB-89H12.4	ENSG00000230551.4	4.090	12.790	-1.438	1.59e-87
CTBP1-AS	ENSG00000280927.1	0.280	1.895	-1.177	2.67e-159
CTC-251I16.1	ENSG00000279496.1	2.260	9.560	-1.696	4.01e-88
CTC-260E6.2	ENSG00000224864.4	0.170	1.430	-1.054	2.35e-64
CTC-301O7.4	ENSG00000197813.5	0.760	3.505	-1.356	1.56e-115
CTC-338M12.4	ENSG00000233937.6	3.735	10.830	-1.321	3.11e-65
CTC-366B18.4	ENSG00000272040.1	0.370	2.080	-1.169	1.24e-173
CTC-428H11.2	ENSG00000272367.1	0.220	2.240	-1.409	1.74e-175
CTC-429P9.2	ENSG00000268087.1	0.985	3.100	-1.046	1.40e-102
CTC-429P9.3	ENSG00000269044.2	2.775	7.745	-1.212	6.40e-115
CTC-429P9.4	ENSG00000268790.5	9.180	3.605	1.145	6.43e-25
CTC-479C5.10	ENSG00000263126.1	0.415	2.190	-1.173	6.59e-141
CTC-490E21.11	ENSG00000279108.1	0.435	2.215	-1.164	1.77e-128
CTC-499J9.1	ENSG00000248268.1	1.090	0.000	1.064	1.04e-112
CTC-510F12.2	ENSG00000267082.1	0.230	3.905	-1.996	1.25e-161
CTC-510F12.3	ENSG00000279807.1	0.105	1.415	-1.128	3.16e-104
